date,USD_Index,Gold_Price,S&P_500,NASDAQ_Composite,WTI_Oil_Price,Copper_Price,Fed_Funds_Rate,UST_10Y_Yield,Term_Spread_10Y_2Y,VIX,Fed_Balance_Sheet_Total,RRP_Balance,TGA_Balance,Govt_Debt_Total,Nonfarm_Payrolls,Initial_Claims,Unemployment_Rate,JOLTS_Job_Openings,CPI_YoY,Core_PCE_YoY,Inflation_Expectation_5Y,OECD_CLI_US,Chicago_NFCI,WEI,CCC_Credit_Spread_Approx
2016/3/15,112.5545,1232.44,2015.93,4728.67,36.32,4953.797619,0.36,1.97,0.99,16.84,4481083,38.299,-108042.7307,19264939,143662,264250,5,6129,0.313479624,0.143243022,1.35,99.96378,-0.33909,1.13,-0.61
2016/3/16,112.7759,1262.04,2027.22,4763.97,38.43,4953.797619,0.36,1.94,1.07,14.99,4486333,48.389,-108042.7307,19264939,143662,264250,5,6129,0.313479624,0.143243022,1.45,99.96378,-0.33909,1.13,-0.58
2016/3/17,110.445,1257.72,2040.59,4774.99,40.17,4953.797619,0.36,1.91,1.04,14.44,4486333,34.869,-108042.7307,19264939,143662,264250,5,6129,0,0,1.46,99.96378,-0.33909,1.13,-0.56
2016/3/18,110.4002,1255.04,2049.58,4795.65,39.47,4953.797619,0.36,1.88,1.04,14.02,4486333,67.622,-108042.7307,19264939,143662,264250,5,6129,0,0,1.47,99.96378,-0.35734,1.13,-0.55
2016/3/19,110.4002,1255.04,2049.58,4795.65,39.47,4953.797619,0.36,1.88,1.04,14.02,4486333,67.622,-108042.7307,19264939,143662,262750,5,6129,0,0,1.47,99.96378,-0.35734,1.1,-0.55
2016/3/20,110.4002,1255.04,2049.58,4795.65,39.47,4953.797619,0.36,1.88,1.04,14.02,4486333,67.622,-108042.7307,19264939,143662,262750,5,6129,0,0,1.47,99.96378,-0.35734,1.1,-0.55
2016/3/21,110.737,1243.44,2051.6,4808.87,39.91,4953.797619,0.36,1.92,1.05,13.79,4486333,55.751,-108042.7307,19264939,143662,262750,5,6129,0,0,1.5,99.96378,-0.35734,1.1,-0.61
2016/3/22,110.7877,1248,2049.8,4821.66,41.45,4953.797619,0.36,1.94,1.03,14.17,4486333,68.284,-108042.7307,19264939,143662,262750,5,6129,0,0,1.48,99.96378,-0.35734,1.1,-0.63
2016/3/23,111.5473,1220.13,2036.71,4768.86,38.28,4953.797619,0.36,1.88,1.01,14.94,4492857,70.075,-108042.7307,19264939,143662,262750,5,6129,0,0,1.44,99.96378,-0.35734,1.1,-0.57
2016/3/24,111.816,1217.12,2035.94,4773.5,38.14,4953.797619,0.36,1.91,1.02,14.74,4492857,70.075,-108042.7307,19264939,143662,262750,5,6129,0,0,1.42,99.96378,-0.35734,1.1,-0.6
2016/3/25,111.7698,1217.12,2035.94,4773.5,38.14,4953.797619,0.36,1.91,1.02,14.74,4492857,70.075,-108042.7307,19264939,143662,262750,5,6129,0,0,1.42,99.96378,-0.37015,1.1,-0.6
2016/3/26,111.7698,1217.12,2035.94,4773.5,38.14,4953.797619,0.36,1.91,1.02,14.74,4492857,70.075,-108042.7307,19264939,143662,263250,5,6129,0,0,1.42,99.96378,-0.37015,0.93,-0.6
2016/3/27,111.7698,1217.12,2035.94,4773.5,38.14,4953.797619,0.36,1.91,1.02,14.74,4492857,70.075,-108042.7307,19264939,143662,263250,5,6129,0,0,1.42,99.96378,-0.37015,0.93,-0.6
2016/3/28,111.3578,1221.34,2037.05,4766.79,37.99,4953.797619,0.36,1.89,1,15.24,4492857,65.481,-108042.7307,19264939,143662,263250,5,6129,0,0,1.4,99.96378,-0.37015,0.93,-0.58
2016/3/29,111.3736,1240.72,2055.01,4846.62,36.91,4953.797619,0.36,1.81,1.03,13.82,4492857,104.77,-108042.7307,19264939,143662,263250,5,6129,0,0,1.47,99.96378,-0.37015,0.93,-0.51
